conversion_id,user_id,conversion_timestamp,conversion_type,order_id,revenue,product_category,customer_type
CNV0000114,USR0017939,2025-02-11 22:20:21,subscription,ORD267669,1080.2,Education,New
CNV0000115,USR0015193,2025-10-10 12:58:05,subscription,ORD928595,473.55,Fashion,Returning
CNV0000116,USR0003637,2025-07-16 11:24:37,signup,ORD652835,151.22,SaaS Subscription,New
CNV0000117,USR0000691,2025-12-05 19:27:14,purchase,ORD717463,235.65,Fashion,New
CNV0000118,USR0010372,2025-08-01 20:52:54,purchase,ORD345433,1974.01,Electronics,New
CNV0000119,USR0012692,2025-01-03 07:00:47,signup,ORD881922,1912.71,Electronics,Returning
CNV0000120,USR0009514,2025-09-09 12:47:02,signup,ORD868412,370.53,Education,New
CNV0000121,USR0010251,2025-10-19 16:13:06,purchase,ORD806334,972.18,Electronics,Returning
CNV0000122,USR0007482,2025-01-31 21:53:58,purchase,ORD469799,132.21,Fashion,Returning
CNV0000123,USR0012611,2025-08-24 10:57:44,lead,ORD860891,796.17,Electronics,Returning
CNV0000124,USR0012970,2025-08-28 09:23:36,purchase,ORD356036,434.0,Fashion,Returning
CNV0000125,USR0011703,2025-06-26 15:15:54,lead,ORD942768,774.12,SaaS Subscription,New
CNV0000126,USR0013431,2025-07-04 20:25:40,signup,ORD880504,532.13,Electronics,New
CNV0000127,USR0017457,2025-04-24 21:11:29,lead,ORD858642,1988.16,Education,Returning
CNV0000128,USR0000849,2025-03-19 22:01:00,purchase,ORD193502,141.0,Home Goods,New
CNV0000129,USR0014888,2025-08-10 03:56:04,lead,ORD270754,482.85,Home Goods,New
CNV0000130,USR0012250,2025-11-15 20:45:16,subscription,ORD444961,496.81,Home Goods,New
CNV0000131,USR0006169,2025-02-20 13:37:52,purchase,ORD847200,916.21,SaaS Subscription,New
CNV0000132,USR0014025,2025-02-21 13:33:15,purchase,ORD277591,251.22,Home Goods,New
CNV0000133,USR0017427,2025-07-27 12:57:45,signup,ORD809375,1653.56,Electronics,Returning
CNV0000134,USR0000250,2025-05-29 22:21:48,purchase,ORD669200,331.88,Fashion,New
CNV0000135,USR0000534,2025-04-07 03:29:01,signup,ORD907825,918.26,SaaS Subscription,Returning
CNV0000136,USR0017607,2025-01-17 05:55:34,purchase,ORD561221,730.34,Electronics,Returning
CNV0000137,USR0003152,2025-11-14 02:13:37,purchase,ORD604162,415.62,SaaS Subscription,New
CNV0000138,USR0017970,2025-03-12 07:47:27,demo_request,ORD987152,495.65,Fashion,Returning
CNV0000139,USR0005475,2025-10-26 05:54:09,demo_request,ORD926304,690.85,Home Goods,Returning
CNV0000140,USR0010862,2025-03-29 22:19:00,purchase,ORD637655,522.68,SaaS Subscription,New
CNV0000141,USR0003484,2025-12-06 01:04:52,purchase,ORD213279,106.77,Fashion,New
CNV0000142,USR0015913,2025-05-17 19:04:32,subscription,ORD177725,1391.58,Education,Returning
CNV0000143,USR0001864,2025-06-04 11:53:04,subscription,ORD622605,1935.84,Education,New
CNV0000144,USR0010201,2025-12-11 02:19:50,signup,ORD126477,619.9,SaaS Subscription,New
CNV0000145,USR0008427,2025-06-03 22:03:52,purchase,ORD602339,1068.74,Electronics,New
CNV0000146,USR0014131,2025-10-15 07:21:50,purchase,ORD250514,1010.3,Electronics,Returning
CNV0000147,USR0017018,2025-12-21 16:07:03,purchase,ORD819073,489.63,SaaS Subscription,New
CNV0000148,USR0003753,2025-12-15 06:51:38,purchase,ORD928021,357.91,Education,Returning
CNV0000149,USR0006629,2025-07-19 21:59:51,purchase,ORD656836,563.54,SaaS Subscription,New
CNV0000150,USR0011765,2025-05-04 19:02:11,signup,ORD776042,269.62,Home Goods,New
CNV0000151,USR0004188,2025-12-17 05:46:49,signup,ORD458586,1455.34,Electronics,Returning
CNV0000152,USR0003090,2025-08-18 12:21:40,subscription,ORD671677,501.28,SaaS Subscription,Returning
CNV0000153,USR0010326,2025-01-09 00:50:24,purchase,ORD639573,386.01,SaaS Subscription,New
CNV0000154,USR0011232,2025-05-13 11:49:19,purchase,ORD753799,536.46,Home Goods,Returning
CNV0000155,USR0011320,2025-06-04 01:26:56,signup,ORD213051,148.37,Fashion,New
CNV0000156,USR0016894,2025-05-17 13:42:07,purchase,ORD932426,1487.59,Education,Returning
CNV0000157,USR0013296,2025-12-22 01:48:46,purchase,ORD524128,780.88,Electronics,New
CNV0000158,USR0017727,2025-03-14 15:21:23,lead,ORD868817,439.86,SaaS Subscription,New
CNV0000159,USR0006326,2025-05-10 20:23:48,purchase,ORD847785,226.4,SaaS Subscription,New
CNV0000160,USR0003297,2025-07-29 11:56:09,demo_request,ORD326911,683.85,Electronics,New
CNV0000161,USR0008171,2025-10-18 13:16:39,subscription,ORD705699,377.65,Education,Returning
CNV0000162,USR0014878,2025-12-27 18:33:24,purchase,ORD671492,597.23,Electronics,New
CNV0000163,USR0009675,2025-08-10 18:02:04,purchase,ORD666950,371.05,Fashion,Returning
CNV0000164,USR0007546,2025-06-10 23:07:19,purchase,ORD501156,204.04,Fashion,New
CNV0000165,USR0017733,2025-12-15 00:10:20,signup,ORD298456,77.03,Fashion,New
CNV0000166,USR0011183,2025-03-26 22:22:01,purchase,ORD452432,203.24,Fashion,New
CNV0000167,USR0017696,2025-09-26 02:00:21,lead,ORD848989,68.53,SaaS Subscription,New
CNV0000168,USR0002677,2025-10-24 04:31:59,lead,ORD666969,1074.24,Electronics,New
CNV0000169,USR0000721,2025-10-26 12:01:20,signup,ORD170987,151.03,Home Goods,New
CNV0000170,USR0002585,2025-04-23 17:26:20,subscription,ORD323685,411.26,Electronics,Returning
CNV0000171,USR0008443,2025-08-13 09:50:40,demo_request,ORD608514,476.4,Electronics,New
CNV0000172,USR0017485,2025-10-04 16:02:59,subscription,ORD710668,1311.7,Education,Returning
CNV0000173,USR0009896,2025-05-05 05:11:21,subscription,ORD988027,181.79,Fashion,New
CNV0000174,USR0015396,2025-12-06 11:04:41,purchase,ORD993591,281.41,Electronics,New
CNV0000175,USR0013345,2025-11-26 12:18:06,purchase,ORD187803,865.12,Electronics,New
CNV0000176,USR0016453,2025-06-24 08:57:56,subscription,ORD862024,320.21,SaaS Subscription,New
CNV0000177,USR0001386,2025-12-26 07:42:25,demo_request,ORD967891,129.62,SaaS Subscription,Returning
CNV0000178,USR0014174,2025-03-11 13:53:01,purchase,ORD754279,1455.63,Education,New
CNV0000179,USR0010939,2025-11-20 22:25:26,signup,ORD101953,1309.05,Electronics,New
CNV0000180,USR0008992,2025-09-18 18:30:44,purchase,ORD652644,1334.16,Electronics,New
CNV0000181,USR0015500,2025-04-28 04:58:39,subscription,ORD601548,1998.53,Education,Returning
CNV0000182,USR0002172,2025-11-04 21:54:36,lead,ORD824983,346.41,Electronics,Returning
CNV0000183,USR0000297,2025-09-13 07:22:58,signup,ORD976873,562.64,Home Goods,Returning
CNV0000184,USR0010029,2025-04-29 17:00:44,purchase,ORD476446,510.8,Education,New
CNV0000185,USR0005231,2025-09-05 14:18:24,signup,ORD595315,670.92,Education,Returning
CNV0000186,USR0013169,2025-03-20 23:45:34,subscription,ORD417991,42.74,Fashion,New
CNV0000187,USR0003523,2025-12-26 11:41:31,signup,ORD383811,732.44,Home Goods,Returning
CNV0000188,USR0010741,2025-06-06 19:37:17,purchase,ORD453075,123.5,Fashion,Returning
CNV0000189,USR0002686,2025-08-27 22:30:34,purchase,ORD903552,903.77,SaaS Subscription,New
CNV0000190,USR0017139,2025-12-12 20:41:53,purchase,ORD176182,276.7,Fashion,New
CNV0000191,USR0017160,2025-06-24 08:57:50,signup,ORD186652,205.43,Fashion,Returning
CNV0000192,USR0012797,2025-10-03 06:09:11,purchase,ORD256445,677.9,Home Goods,New
CNV0000193,USR0017817,2025-11-02 06:37:21,signup,ORD829345,1974.95,Electronics,Returning
CNV0000194,USR0010781,2025-06-26 06:00:40,subscription,ORD126785,621.73,Home Goods,New
CNV0000195,USR0007242,2025-04-04 05:27:12,subscription,ORD955396,391.2,Home Goods,New
CNV0000196,USR0004825,2025-06-04 20:55:55,lead,ORD667324,473.85,Fashion,Returning
CNV0000197,USR0010927,2025-07-06 23:18:39,purchase,ORD162431,756.22,SaaS Subscription,Returning
CNV0000198,USR0010665,2025-11-08 01:22:24,purchase,ORD150415,632.2,SaaS Subscription,Returning
CNV0000199,USR0007912,2025-09-16 03:58:35,demo_request,ORD182061,376.9,SaaS Subscription,New
CNV0000200,USR0014867,2025-02-22 03:41:51,signup,ORD944112,423.35,Home Goods,New
CNV0000201,USR0001812,2025-06-12 22:34:50,lead,ORD514731,481.32,Fashion,New
CNV0000202,USR0013067,2025-05-21 01:12:54,purchase,ORD970735,702.12,Home Goods,New
CNV0000203,USR0003470,2025-04-02 06:30:04,purchase,ORD475257,1067.46,Education,New
CNV0000204,USR0003981,2025-08-18 13:14:15,subscription,ORD414706,1831.04,Education,New
CNV0000205,USR0011608,2025-11-18 09:22:34,subscription,ORD218560,459.03,Home Goods,New
CNV0000206,USR0002539,2025-07-30 00:45:20,signup,ORD136458,190.18,Electronics,New
CNV0000207,USR0011961,2025-02-18 00:06:18,purchase,ORD625630,375.24,Home Goods,Returning
CNV0000208,USR0003872,2025-02-19 20:49:19,subscription,ORD600766,776.91,SaaS Subscription,New
CNV0000209,USR0011623,2025-08-07 22:36:25,subscription,ORD322100,698.97,SaaS Subscription,New
CNV0000210,USR0001911,2025-08-14 03:25:51,purchase,ORD254910,1273.86,Education,New
CNV0000211,USR0004834,2025-11-13 08:19:13,signup,ORD203154,797.95,SaaS Subscription,New
CNV0000212,USR0000478,2025-12-19 13:05:35,purchase,ORD457046,1028.9,Electronics,Returning
CNV0000213,USR0011989,2025-12-12 06:22:20,purchase,ORD572907,342.89,Education,New
CNV0000214,USR0005871,2025-11-28 12:14:44,subscription,ORD887644,805.98,Electronics,New
CNV0000215,USR0016762,2025-07-24 04:26:31,subscription,ORD616748,1735.88,Electronics,Returning
CNV0000216,USR0003054,2025-05-25 23:01:34,subscription,ORD460157,936.06,Education,New
CNV0000217,USR0011470,2025-08-03 10:01:35,purchase,ORD432346,65.12,Fashion,New
CNV0000218,USR0009883,2025-11-09 13:45:35,purchase,ORD868975,492.07,Home Goods,Returning
CNV0000219,USR0015441,2025-11-06 05:29:57,subscription,ORD474922,31.75,Fashion,New
CNV0000220,USR0012619,2025-04-23 22:40:53,lead,ORD926412,164.37,Electronics,New
CNV0000221,USR0012564,2025-07-27 15:11:01,subscription,ORD323914,903.88,SaaS Subscription,New
CNV0000222,USR0010097,2025-01-22 11:31:38,subscription,ORD576679,127.52,Electronics,New
CNV0000223,USR0006582,2025-07-12 07:20:50,purchase,ORD900252,67.68,Home Goods,Returning
CNV0000224,USR0010447,2025-11-02 02:21:07,purchase,ORD314882,305.7,Home Goods,New
CNV0000225,USR0003665,2025-02-23 00:30:41,lead,ORD606714,441.51,Home Goods,Returning
CNV0000226,USR0007678,2025-12-01 23:05:31,lead,ORD551447,1118.38,Education,New
CNV0000227,USR0009861,2025-11-26 15:12:59,subscription,ORD746944,316.93,Fashion,Returning
CNV0000228,USR0001820,2025-03-22 13:04:18,subscription,ORD228363,1639.54,Electronics,Returning
CNV0000229,USR0017827,2025-02-19 06:51:46,purchase,ORD848299,61.95,Electronics,Returning
CNV0000230,USR0006103,2025-05-13 03:09:57,purchase,ORD945313,628.22,SaaS Subscription,Returning
CNV0000231,USR0015445,2025-10-07 08:07:55,subscription,ORD552207,118.44,SaaS Subscription,New
CNV0000232,USR0001902,2025-06-19 20:09:34,purchase,ORD432792,711.92,Electronics,Returning
CNV0000233,USR0001746,2025-02-25 07:03:49,subscription,ORD319976,634.98,SaaS Subscription,New
CNV0000234,USR0007388,2025-09-10 12:16:41,lead,ORD352310,1903.82,Electronics,New
CNV0000235,USR0014585,2025-12-23 08:11:06,signup,ORD755833,149.53,Fashion,New
CNV0000236,USR0007723,2025-11-14 03:40:51,subscription,ORD266954,127.44,Education,New
CNV0000237,USR0006710,2025-05-16 19:33:30,purchase,ORD924424,846.5,SaaS Subscription,Returning
CNV0000238,USR0004462,2025-02-13 04:36:27,signup,ORD410418,452.26,Home Goods,Returning
CNV0000239,USR0007818,2025-12-25 04:47:44,purchase,ORD971645,460.06,Home Goods,New
CNV0000240,USR0017466,2025-06-05 06:22:16,purchase,ORD444867,89.31,Electronics,New
CNV0000241,USR0015397,2025-12-20 23:18:51,purchase,ORD641997,295.37,SaaS Subscription,New
CNV0000242,USR0008012,2025-07-01 22:30:15,subscription,ORD451881,781.54,Electronics,New
CNV0000243,USR0016826,2025-05-16 14:15:34,purchase,ORD134829,245.89,SaaS Subscription,Returning
CNV0000244,USR0003056,2025-03-03 07:08:53,lead,ORD837399,549.41,SaaS Subscription,New
CNV0000245,USR0013260,2025-10-13 19:08:34,lead,ORD624363,777.62,Home Goods,Returning
CNV0000246,USR0008085,2025-11-11 09:10:05,lead,ORD716656,237.86,Fashion,New
CNV0000247,USR0012029,2025-01-27 06:40:09,purchase,ORD571302,1167.38,Education,New
CNV0000248,USR0011568,2025-01-12 07:50:12,purchase,ORD327583,38.69,Fashion,New
CNV0000249,USR0016750,2025-11-20 14:30:10,purchase,ORD646484,804.2,SaaS Subscription,Returning
CNV0000250,USR0015683,2025-02-19 21:32:07,subscription,ORD352763,1175.64,Electronics,New
CNV0000251,USR0002300,2025-10-04 16:50:23,demo_request,ORD877003,333.18,Fashion,New
CNV0000252,USR0008233,2025-03-21 06:13:42,demo_request,ORD327587,692.25,Electronics,New
CNV0000253,USR0017643,2025-09-25 22:41:09,signup,ORD250271,443.96,Electronics,New
CNV0000254,USR0004423,2025-03-08 16:15:59,subscription,ORD884336,356.98,SaaS Subscription,Returning
CNV0000255,USR0013406,2025-01-15 21:19:51,subscription,ORD275772,84.81,Fashion,New
CNV0000256,USR0008468,2025-06-09 12:48:25,subscription,ORD996957,870.54,SaaS Subscription,Returning
CNV0000257,USR0017910,2025-05-26 10:55:30,subscription,ORD882327,1807.32,Education,Returning
CNV0000258,USR0000277,2025-10-04 15:28:30,subscription,ORD555921,352.4,Fashion,New
CNV0000259,USR0010381,2025-12-13 00:11:24,purchase,ORD189832,584.43,SaaS Subscription,New
CNV0000260,USR0011005,2025-06-19 13:50:54,subscription,ORD642910,966.74,Electronics,New
CNV0000261,USR0007423,2025-03-31 22:40:45,subscription,ORD351999,795.76,Education,Returning
CNV0000262,USR0002181,2025-10-23 16:48:26,purchase,ORD288869,233.92,Fashion,New
CNV0000263,USR0016187,2025-09-03 05:56:53,purchase,ORD380568,292.56,Home Goods,New
CNV0000264,USR0011858,2025-07-01 02:34:55,subscription,ORD816502,492.94,SaaS Subscription,Returning
CNV0000265,USR0014723,2025-02-08 20:19:49,lead,ORD446433,234.51,Education,Returning
CNV0000266,USR0005413,2025-10-04 17:35:11,signup,ORD771327,309.49,Fashion,New
CNV0000267,USR0004902,2025-01-03 19:13:09,purchase,ORD751864,598.59,SaaS Subscription,New
CNV0000268,USR0016738,2025-01-24 12:19:09,purchase,ORD176992,391.45,Fashion,Returning
CNV0000269,USR0003738,2025-02-03 10:50:52,signup,ORD713528,268.62,SaaS Subscription,Returning
CNV0000270,USR0002318,2025-10-05 10:14:48,signup,ORD450967,901.43,SaaS Subscription,Returning
CNV0000271,USR0002925,2025-12-11 14:55:04,signup,ORD991544,717.21,Home Goods,Returning
CNV0000272,USR0007296,2025-12-17 15:25:42,demo_request,ORD177044,921.33,SaaS Subscription,Returning
CNV0000273,USR0009957,2025-11-21 15:40:37,subscription,ORD465940,286.15,SaaS Subscription,New
CNV0000274,USR0010641,2025-05-18 01:08:59,purchase,ORD119324,728.74,Electronics,New
CNV0000275,USR0005075,2025-12-22 09:59:42,purchase,ORD762204,529.12,SaaS Subscription,Returning
CNV0000276,USR0013027,2025-05-22 02:36:45,demo_request,ORD124790,648.4,Education,New
CNV0000277,USR0016918,2025-07-04 11:55:58,purchase,ORD580312,1761.66,Electronics,New
CNV0000278,USR0006126,2025-11-06 08:14:09,lead,ORD910675,199.16,Fashion,Returning
CNV0000279,USR0006490,2025-07-16 03:50:46,demo_request,ORD541382,1095.36,Electronics,New
CNV0000280,USR0015240,2025-02-21 20:40:35,purchase,ORD120081,1069.95,Electronics,Returning
CNV0000281,USR0001722,2025-12-24 01:02:36,purchase,ORD944304,1270.92,Education,New
CNV0000282,USR0012490,2025-05-12 17:34:49,purchase,ORD275323,1065.69,Education,New
CNV0000283,USR0010077,2025-10-28 08:42:28,lead,ORD988520,1963.45,Education,New
CNV0000284,USR0001150,2025-05-17 22:34:45,purchase,ORD120435,586.26,Home Goods,New
CNV0000285,USR0017873,2025-10-18 23:54:48,purchase,ORD792255,387.53,Home Goods,New
CNV0000286,USR0011099,2025-08-14 19:48:38,purchase,ORD729455,172.97,Fashion,New
